seq_name	batch	sample.x	batch_number	read	lane	plate	sample_name	well	sample.y	number	genotype	experiment	barcode	X	Y	X_Y	well_no	dh_genotype
18048-85-01-03/BG-P12-well-4_S5_L006_R1_001	18048-85-01-03	5	4	1	6	12	BG-P12-well-4_S5_L006	A4	BG_WD_0718_927	927	511EB00248	WD_0718	ILLSINHA32	55	12	55_12	4	EB.09S.H.00348
18048-85-01-03/BG-P12-well-4_S5_L006_R2_001	18048-85-01-03	5	4	2	6	12	BG-P12-well-4_S5_L006	A4	BG_WD_0718_927	927	511EB00248	WD_0718	ILLSINHA32	55	12	55_12	4	EB.09S.H.00348
18048-85-01-03/BG-P12-well-40_S41_L006_R1_001	18048-85-01-03	41	40	1	6	12	BG-P12-well-40_S41_L006	D4	BG_WD_0718_800	800	511EB00062	WD_0718	ILLSINHA29	68	18	68_18	40	EB.09S.H.00083
18048-85-01-03/BG-P12-well-40_S41_L006_R2_001	18048-85-01-03	41	40	2	6	12	BG-P12-well-40_S41_L006	D4	BG_WD_0718_800	800	511EB00062	WD_0718	ILLSINHA29	68	18	68_18	40	EB.09S.H.00083
18048-85-01-03/BG-P12-well-41_S42_L006_R1_001	18048-85-01-03	42	41	1	6	12	BG-P12-well-41_S42_L006	D5	BG_WD_0718_736	736	511EB00120	WD_0718	ILLSINHA37	56	22	56_22	41	EB.09S.H.00160
18048-85-01-03/BG-P12-well-41_S42_L006_R2_001	18048-85-01-03	42	41	2	6	12	BG-P12-well-41_S42_L006	D5	BG_WD_0718_736	736	511EB00120	WD_0718	ILLSINHA37	56	22	56_22	41	EB.09S.H.00160
18048-85-01-03/BG-P12-well-42_S43_L006_R1_001	18048-85-01-03	43	42	1	6	12	BG-P12-well-42_S43_L006	D6	BG_WD_0718_965	965	511EB00020	WD_0718	ILLSINHA45	55	10	55_10	42	EB.09S.H.00027
18048-85-01-03/BG-P12-well-42_S43_L006_R2_001	18048-85-01-03	43	42	2	6	12	BG-P12-well-42_S43_L006	D6	BG_WD_0718_965	965	511EB00020	WD_0718	ILLSINHA45	55	10	55_10	42	EB.09S.H.00027
18048-85-01-03/BG-P12-well-43_S44_L006_R1_001	18048-85-01-03	44	43	1	6	12	BG-P12-well-43_S44_L006	D7	BG_WD_0718_977	977	511EB00431	WD_0718	ILLSINHA53	58	9	58_9	43	EB.10H.H.00078
18048-85-01-03/BG-P12-well-43_S44_L006_R2_001	18048-85-01-03	44	43	2	6	12	BG-P12-well-43_S44_L006	D7	BG_WD_0718_977	977	511EB00431	WD_0718	ILLSINHA53	58	9	58_9	43	EB.10H.H.00078
18048-85-01-03/BG-P12-well-44_S45_L006_R1_001	18048-85-01-03	45	44	1	6	12	BG-P12-well-44_S45_L006	D8	BG_WD_0718_805	805	511EB00143	WD_0718	ILLSINHA61	63	18	63_18	44	EB.09S.H.00195
18048-85-01-03/BG-P12-well-44_S45_L006_R2_001	18048-85-01-03	45	44	2	6	12	BG-P12-well-44_S45_L006	D8	BG_WD_0718_805	805	511EB00143	WD_0718	ILLSINHA61	63	18	63_18	44	EB.09S.H.00195
18048-85-01-03/BG-P12-well-45_S46_L006_R1_001	18048-85-01-03	46	45	1	6	12	BG-P12-well-45_S46_L006	D9	BG_WD_0718_830	830	513EB00021	WD_0718	ILLSINHA69	63	17	63_17	45	EB.09S.H.00428
18048-85-01-03/BG-P12-well-45_S46_L006_R2_001	18048-85-01-03	46	45	2	6	12	BG-P12-well-45_S46_L006	D9	BG_WD_0718_830	830	513EB00021	WD_0718	ILLSINHA69	63	17	63_17	45	EB.09S.H.00428
18048-85-01-03/BG-P12-well-49_S50_L006_R1_001	18048-85-01-03	50	49	1	6	12	BG-P12-well-49_S50_L006	E1	BG_WD_0718_811	811	511EB00125	WD_0718	ILLSINHA4	57	18	57_18	49	EB.09S.H.00166
18048-85-01-03/BG-P12-well-49_S50_L006_R2_001	18048-85-01-03	50	49	2	6	12	BG-P12-well-49_S50_L006	E1	BG_WD_0718_811	811	511EB00125	WD_0718	ILLSINHA4	57	18	57_18	49	EB.09S.H.00166
18048-85-01-03/BG-P12-well-5_S6_L006_R1_001	18048-85-01-03	6	5	1	6	12	BG-P12-well-5_S6_L006	A5	BG_WD_0718_729	729	511EB00327	WD_0718	ILLSINHA40	63	22	63_22	5	EB.09S.H.00460
18048-85-01-03/BG-P12-well-5_S6_L006_R2_001	18048-85-01-03	6	5	2	6	12	BG-P12-well-5_S6_L006	A5	BG_WD_0718_729	729	511EB00327	WD_0718	ILLSINHA40	63	22	63_22	5	EB.09S.H.00460
18048-85-01-03/BG-P12-well-50_S51_L006_R1_001	18048-85-01-03	51	50	1	6	12	BG-P12-well-50_S51_L006	E2	BG_WD_0718_879	879	511EB00179	WD_0718	ILLSINHA12	65	14	65_14	50	EB.09S.H.00245
18048-85-01-03/BG-P12-well-50_S51_L006_R2_001	18048-85-01-03	51	50	2	6	12	BG-P12-well-50_S51_L006	E2	BG_WD_0718_879	879	511EB00179	WD_0718	ILLSINHA12	65	14	65_14	50	EB.09S.H.00245
18048-85-01-03/BG-P12-well-51_S52_L006_R1_001	18048-85-01-03	52	51	1	6	12	BG-P12-well-51_S52_L006	E3	BG_WD_0718_939	939	511EB00261	WD_0718	ILLSINHA20	58	11	58_11	51	EB.09S.H.00366
18048-85-01-03/BG-P12-well-51_S52_L006_R2_001	18048-85-01-03	52	51	2	6	12	BG-P12-well-51_S52_L006	E3	BG_WD_0718_939	939	511EB00261	WD_0718	ILLSINHA20	58	11	58_11	51	EB.09S.H.00366
18048-85-01-03/BG-P12-well-52_S53_L006_R1_001	18048-85-01-03	53	52	1	6	12	BG-P12-well-52_S53_L006	E4	BG_WD_0718_974	974	511EB00336	WD_0718	ILLSINHA28	55	9	55_9	52	EB.09S.H.00472
18048-85-01-03/BG-P12-well-52_S53_L006_R2_001	18048-85-01-03	53	52	2	6	12	BG-P12-well-52_S53_L006	E4	BG_WD_0718_974	974	511EB00336	WD_0718	ILLSINHA28	55	9	55_9	52	EB.09S.H.00472
18048-85-01-03/BG-P12-well-53_S54_L006_R1_001	18048-85-01-03	54	53	1	6	12	BG-P12-well-53_S54_L006	E5	BG_WD_0718_989	989	511EB00322	WD_0718	ILLSINHA36	69	8	69_8	53	EB.09S.H.00451
18048-85-01-03/BG-P12-well-53_S54_L006_R2_001	18048-85-01-03	54	53	2	6	12	BG-P12-well-53_S54_L006	E5	BG_WD_0718_989	989	511EB00322	WD_0718	ILLSINHA36	69	8	69_8	53	EB.09S.H.00451
18048-85-01-03/BG-P12-well-54_S55_L006_R1_001	18048-85-01-03	55	54	1	6	12	BG-P12-well-54_S55_L006	E6	BG_WD_0718_944	944	9P9486	WD_0718	ILLSINHA44	63	11	63_11	54	
18048-85-01-03/BG-P12-well-54_S55_L006_R2_001	18048-85-01-03	55	54	2	6	12	BG-P12-well-54_S55_L006	E6	BG_WD_0718_944	944	9P9486	WD_0718	ILLSINHA44	63	11	63_11	54	
18048-85-01-03/BG-P12-well-55_S56_L006_R1_001	18048-85-01-03	56	55	1	6	12	BG-P12-well-55_S56_L006	E7	BG_WD_0718_913	913	511EB00400	WD_0718	ILLSINHA52	69	12	69_12	55	EB.10H.H.00041
18048-85-01-03/BG-P12-well-55_S56_L006_R2_001	18048-85-01-03	56	55	2	6	12	BG-P12-well-55_S56_L006	E7	BG_WD_0718_913	913	511EB00400	WD_0718	ILLSINHA52	69	12	69_12	55	EB.10H.H.00041
18048-85-01-03/BG-P12-well-56_S57_L006_R1_001	18048-85-01-03	57	56	1	6	12	BG-P12-well-56_S57_L006	E8	BG_WD_0718_985	985	511EB00036	WD_0718	ILLSINHA60	66	9	66_9	56	EB.09S.H.00049
18048-85-01-03/BG-P12-well-56_S57_L006_R2_001	18048-85-01-03	57	56	2	6	12	BG-P12-well-56_S57_L006	E8	BG_WD_0718_985	985	511EB00036	WD_0718	ILLSINHA60	66	9	66_9	56	EB.09S.H.00049
18048-85-01-03/BG-P12-well-57_S58_L006_R1_001	18048-85-01-03	58	57	1	6	12	BG-P12-well-57_S58_L006	E9	BG_WD_0718_870	870	511EB00053	WD_0718	ILLSINHA68	65	15	65_15	57	EB.09S.H.00073
18048-85-01-03/BG-P12-well-57_S58_L006_R2_001	18048-85-01-03	58	57	2	6	12	BG-P12-well-57_S58_L006	E9	BG_WD_0718_870	870	511EB00053	WD_0718	ILLSINHA68	65	15	65_15	57	EB.09S.H.00073
18048-85-01-03/BG-P12-well-6_S7_L006_R1_001	18048-85-01-03	7	6	1	6	12	BG-P12-well-6_S7_L006	A6	BG_WD_0718_1057	1057	511EB00103	WD_0718	ILLSINHA48	62	5	62_5	6	EB.09S.H.00140
18048-85-01-03/BG-P12-well-6_S7_L006_R2_001	18048-85-01-03	7	6	2	6	12	BG-P12-well-6_S7_L006	A6	BG_WD_0718_1057	1057	511EB00103	WD_0718	ILLSINHA48	62	5	62_5	6	EB.09S.H.00140
18048-85-01-03/BG-P12-well-61_S62_L006_R1_001	18048-85-01-03	62	61	1	6	12	BG-P12-well-61_S62_L006	F1	BG_WD_0718_988	988	511EB00293	WD_0718	ILLSINHA3	69	9	69_9	61	EB.09S.H.00409
18048-85-01-03/BG-P12-well-61_S62_L006_R2_001	18048-85-01-03	62	61	2	6	12	BG-P12-well-61_S62_L006	F1	BG_WD_0718_988	988	511EB00293	WD_0718	ILLSINHA3	69	9	69_9	61	EB.09S.H.00409
18048-85-01-03/BG-P12-well-62_S63_L006_R1_001	18048-85-01-03	63	62	1	6	12	BG-P12-well-62_S63_L006	F2	BG_WD_0718_808	808	511EB00298	WD_0718	ILLSINHA11	60	18	60_18	62	EB.09S.H.00416
